,community.type,Day,method,Treatment,Df,R2,Fs,ps,qs
1,family,all,bray,All,7,0.303296074,117.041562,0.00019996,0.000211278
2,family,all,bray,glucose,1,0.183850263,425.3009962,0.00019996,0.000211278
3,family,all,bray,leucine,1,0.022377447,43.2156761,0.00019996,0.000211278
4,family,all,bray,citrate,1,0.072952151,148.572333,0.00019996,0.000211278
5,family,all,jaccard,All,7,0.314778378,123.5080924,0.00019996,0.000211278
6,family,all,jaccard,glucose,1,0.181852191,419.6514767,0.00019996,0.000211278
7,family,all,jaccard,leucine,1,0.023770759,45.97198279,0.00019996,0.000211278
8,family,all,jaccard,citrate,1,0.065607589,132.5643564,0.00019996,0.000211278
9,family,day2,bray,All,7,0.364638072,25.16988084,0.00019996,0.000211278
10,family,day2,bray,glucose,1,0.150343651,55.38423007,0.00019996,0.000211278
11,family,day2,bray,leucine,1,0.048722947,16.03137827,0.00019996,0.000211278
12,family,day2,bray,citrate,1,0.070356007,23.68802514,0.00019996,0.000211278
13,family,day2,jaccard,All,7,0.346942065,23.29944536,0.00019996,0.000211278
14,family,day2,jaccard,glucose,1,0.135087489,48.88631321,0.00019996,0.000211278
15,family,day2,jaccard,leucine,1,0.046953719,15.42056685,0.00019996,0.000211278
16,family,day2,jaccard,citrate,1,0.065530125,21.94926718,0.00019996,0.000211278
17,family,day4,bray,All,7,0.390426845,28.09015742,0.00019996,0.000211278
18,family,day4,bray,glucose,1,0.155646117,57.69764964,0.00019996,0.000211278
19,family,day4,bray,leucine,1,0.026527168,8.529260601,0.00039992,0.000420573
20,family,day4,bray,citrate,1,0.103986273,36.32500523,0.00019996,0.000211278
21,family,day4,jaccard,All,7,0.411446585,30.65970086,0.00019996,0.000211278
22,family,day4,jaccard,glucose,1,0.151678481,55.96388105,0.00019996,0.000211278
23,family,day4,jaccard,leucine,1,0.025720336,8.262992226,0.00019996,0.000211278
24,family,day4,jaccard,citrate,1,0.10671491,37.39205661,0.00019996,0.000211278
25,family,day6,bray,All,7,0.523837701,48.24830721,0.00019996,0.000211278
26,family,day6,bray,glucose,1,0.310304022,140.8231483,0.00019996,0.000211278
27,family,day6,bray,leucine,1,0.046824855,15.3761665,0.00019996,0.000211278
28,family,day6,bray,citrate,1,0.12011331,42.72762207,0.00019996,0.000211278
29,family,day6,jaccard,All,7,0.544527143,52.43211385,0.00019996,0.000211278
30,family,day6,jaccard,glucose,1,0.304508366,137.0413587,0.00019996,0.000211278
31,family,day6,jaccard,leucine,1,0.042890993,14.02649082,0.00019996,0.000211278
32,family,day6,jaccard,citrate,1,0.115878912,41.02390506,0.00019996,0.000211278
33,family,day8,bray,All,7,0.425373037,32.46566427,0.00019996,0.000211278
34,family,day8,bray,glucose,1,0.239007177,98.30479878,0.00019996,0.000211278
35,family,day8,bray,leucine,1,0.077283623,26.21582816,0.00019996,0.000211278
36,family,day8,bray,citrate,1,0.088475919,30.3809448,0.00019996,0.000211278
37,family,day8,jaccard,All,7,0.490480445,42.21834226,0.00019996,0.000211278
38,family,day8,jaccard,glucose,1,0.262516641,111.4163563,0.00019996,0.000211278
39,family,day8,jaccard,leucine,1,0.083077983,28.359455,0.00019996,0.000211278
40,family,day8,jaccard,citrate,1,0.088365055,30.33918601,0.00019996,0.000211278
41,family,day10,bray,All,7,0.492434031,42.54964072,0.00019996,0.000211278
42,family,day10,bray,glucose,1,0.348489334,167.4219123,0.00019996,0.000211278
43,family,day10,bray,leucine,1,0.022247734,7.121988738,0.00139972,0.001458313
44,family,day10,bray,citrate,1,0.093391527,32.24274719,0.00019996,0.000211278
45,family,day10,jaccard,All,7,0.540983081,51.68866603,0.00019996,0.000211278
46,family,day10,jaccard,glucose,1,0.363362008,178.6451796,0.00019996,0.000211278
47,family,day10,jaccard,leucine,1,0.0295827,9.541652836,0.00019996,0.000211278
48,family,day10,jaccard,citrate,1,0.080600688,27.43967186,0.00019996,0.000211278
49,family,day12,bray,All,7,0.402551724,29.5502877,0.00019996,0.000211278
50,family,day12,bray,glucose,1,0.283979875,124.1385509,0.00019996,0.000211278
51,family,day12,bray,leucine,1,0.005736883,1.806005366,0.150369926,0.150369926
52,family,day12,bray,citrate,1,0.069808567,23.48987591,0.00019996,0.000211278
53,family,day12,jaccard,All,7,0.436854645,34.02176085,0.00019996,0.000211278
54,family,day12,jaccard,glucose,1,0.295566201,131.328481,0.00019996,0.000211278
55,family,day12,jaccard,leucine,1,0.012569411,3.984305987,0.013797241,0.01392154
56,family,day12,jaccard,citrate,1,0.061789365,20.61378394,0.00019996,0.000211278
57,genus,all,bray,All,7,0.318356708,125.5678389,0.00019996,0.000211278
58,genus,all,bray,glucose,1,0.085521998,176.565792,0.00019996,0.000211278
59,genus,all,bray,leucine,1,0.092546164,192.5466076,0.00019996,0.000211278
60,genus,all,bray,citrate,1,0.031612633,61.63303413,0.00019996,0.000211278
61,genus,all,jaccard,All,7,0.282179438,105.6893066,0.00019996,0.000211278
62,genus,all,jaccard,glucose,1,0.066279039,134.0173673,0.00019996,0.000211278
63,genus,all,jaccard,leucine,1,0.074897589,152.8551295,0.00019996,0.000211278
64,genus,all,jaccard,citrate,1,0.040773471,80.25248498,0.00019996,0.000211278
65,genus,day2,bray,All,7,0.516377893,46.82759268,0.00019996,0.000211278
66,genus,day2,bray,glucose,1,0.155275868,57.53517025,0.00019996,0.000211278
67,genus,day2,bray,leucine,1,0.231408437,94.2384021,0.00019996,0.000211278
68,genus,day2,bray,citrate,1,0.06052971,20.16646964,0.00019996,0.000211278
69,genus,day2,jaccard,All,7,0.474420879,39.5882245,0.00019996,0.000211278
70,genus,day2,jaccard,glucose,1,0.135917222,49.23381347,0.00019996,0.000211278
71,genus,day2,jaccard,leucine,1,0.19694355,76.76089438,0.00019996,0.000211278
72,genus,day2,jaccard,citrate,1,0.058340689,19.39197691,0.00019996,0.000211278
73,genus,day4,bray,All,7,0.610826967,68.83602726,0.00019996,0.000211278
74,genus,day4,bray,glucose,1,0.053745212,17.77771877,0.00019996,0.000211278
75,genus,day4,bray,leucine,1,0.33534169,157.9186589,0.00019996,0.000211278
76,genus,day4,bray,citrate,1,0.057261486,19.01147001,0.00019996,0.000211278
77,genus,day4,jaccard,All,7,0.604180439,66.94370478,0.00019996,0.000211278
78,genus,day4,jaccard,glucose,1,0.050065284,16.49632735,0.00019996,0.000211278
79,genus,day4,jaccard,leucine,1,0.285768013,125.2329633,0.00019996,0.000211278
80,genus,day4,jaccard,citrate,1,0.071101288,23.95815926,0.00019996,0.000211278
81,genus,day6,bray,All,7,0.617142786,70.69507461,0.00019996,0.000211278
82,genus,day6,bray,glucose,1,0.1258991,45.08223068,0.00019996,0.000211278
83,genus,day6,bray,leucine,1,0.191107545,73.94884358,0.00019996,0.000211278
84,genus,day6,bray,citrate,1,0.057526529,19.10483876,0.00019996,0.000211278
85,genus,day6,jaccard,All,7,0.585595763,61.97464888,0.00019996,0.000211278
86,genus,day6,jaccard,glucose,1,0.106052066,37.13224814,0.00019996,0.000211278
87,genus,day6,jaccard,leucine,1,0.150485894,55.44591262,0.00019996,0.000211278
88,genus,day6,jaccard,citrate,1,0.092263014,31.81353602,0.00019996,0.000211278
89,genus,day8,bray,All,7,0.503408244,44.45914989,0.00019996,0.000211278
90,genus,day8,bray,glucose,1,0.157760319,58.62818013,0.00019996,0.000211278
91,genus,day8,bray,leucine,1,0.135098347,48.89085662,0.00019996,0.000211278
92,genus,day8,bray,citrate,1,0.036959273,12.01221522,0.00019996,0.000211278
93,genus,day8,jaccard,All,7,0.485293302,41.3508854,0.00019996,0.000211278
94,genus,day8,jaccard,glucose,1,0.132143253,47.65860062,0.00019996,0.000211278
95,genus,day8,jaccard,leucine,1,0.110005094,38.68740637,0.00019996,0.000211278
96,genus,day8,jaccard,citrate,1,0.061841572,20.63234885,0.00019996,0.000211278
97,genus,day10,bray,All,7,0.512935698,46.18670287,0.00019996,0.000211278
98,genus,day10,bray,glucose,1,0.225916942,91.34937419,0.00019996,0.000211278
99,genus,day10,bray,leucine,1,0.085510339,29.26740144,0.00019996,0.000211278
100,genus,day10,bray,citrate,1,0.036062484,11.70984365,0.00019996,0.000211278
101,genus,day10,jaccard,All,7,0.482479578,40.88761505,0.00019996,0.000211278
102,genus,day10,jaccard,glucose,1,0.182934141,70.07805496,0.00019996,0.000211278
103,genus,day10,jaccard,leucine,1,0.081829984,27.895471,0.00019996,0.000211278
104,genus,day10,jaccard,citrate,1,0.04789614,15.74564765,0.00019996,0.000211278
105,genus,day12,bray,All,7,0.413845925,30.96472515,0.00019996,0.000211278
106,genus,day12,bray,glucose,1,0.215340427,85.89910333,0.00019996,0.000211278
107,genus,day12,bray,leucine,1,0.043885476,14.36664099,0.00019996,0.000211278
108,genus,day12,bray,citrate,1,0.045387636,14.88177873,0.00019996,0.000211278
109,genus,day12,jaccard,All,7,0.374051808,26.20798934,0.00019996,0.000211278
110,genus,day12,jaccard,glucose,1,0.171539915,64.80939066,0.00019996,0.000211278
111,genus,day12,jaccard,leucine,1,0.044550199,14.59439547,0.00019996,0.000211278
112,genus,day12,jaccard,citrate,1,0.048587946,15.98469052,0.00019996,0.000211278
113,ASV,all,bray,All,7,0.294701966,112.3393581,0.00019996,0.000211278
114,ASV,all,bray,glucose,1,0.079200159,162.3913189,0.00019996,0.000211278
115,ASV,all,bray,leucine,1,0.077475587,158.5583066,0.00019996,0.000211278
116,ASV,all,bray,citrate,1,0.067820178,137.3602962,0.00019996,0.000211278
117,ASV,all,jaccard,All,7,0.250342341,89.78275034,0.00019996,0.000211278
118,ASV,all,jaccard,glucose,1,0.056085981,112.1821804,0.00019996,0.000211278
119,ASV,all,jaccard,leucine,1,0.059379071,119.1847676,0.00019996,0.000211278
120,ASV,all,jaccard,citrate,1,0.060651151,121.902925,0.00019996,0.000211278
121,ASV,day2,bray,All,7,0.53506455,50.47238801,0.00019996,0.000211278
122,ASV,day2,bray,glucose,1,0.114268656,40.38029107,0.00019996,0.000211278
123,ASV,day2,bray,leucine,1,0.31317776,142.721993,0.00019996,0.000211278
124,ASV,day2,bray,citrate,1,0.047629147,15.65348507,0.00019996,0.000211278
125,ASV,day2,jaccard,All,7,0.483447352,41.04638645,0.00019996,0.000211278
126,ASV,day2,jaccard,glucose,1,0.100084784,34.81054315,0.00019996,0.000211278
127,ASV,day2,jaccard,leucine,1,0.257993627,108.8292611,0.00019996,0.000211278
128,ASV,day2,jaccard,citrate,1,0.046575319,15.29022165,0.00019996,0.000211278
129,ASV,day4,bray,All,7,0.588099004,62.6178191,0.00019996,0.000211278
130,ASV,day4,bray,glucose,1,0.080009044,27.22073599,0.00019996,0.000211278
131,ASV,day4,bray,leucine,1,0.274668402,118.5267675,0.00019996,0.000211278
132,ASV,day4,bray,citrate,1,0.070944086,23.90114363,0.00019996,0.000211278
133,ASV,day4,jaccard,All,7,0.587760738,62.53045012,0.00019996,0.000211278
134,ASV,day4,jaccard,glucose,1,0.068980724,23.19067621,0.00019996,0.000211278
135,ASV,day4,jaccard,leucine,1,0.23934636,98.48820377,0.00019996,0.000211278
136,ASV,day4,jaccard,citrate,1,0.078314623,26.59527589,0.00019996,0.000211278
137,ASV,day6,bray,All,7,0.581534737,60.94759665,0.00019996,0.000211278
138,ASV,day6,bray,glucose,1,0.138745049,50.42316488,0.00019996,0.000211278
139,ASV,day6,bray,leucine,1,0.164186017,61.48523985,0.00019996,0.000211278
140,ASV,day6,bray,citrate,1,0.123458831,44.08533856,0.00019996,0.000211278
141,ASV,day6,jaccard,All,7,0.550518636,53.7156296,0.00019996,0.000211278
142,ASV,day6,jaccard,glucose,1,0.10904996,38.3103831,0.00019996,0.000211278
143,ASV,day6,jaccard,leucine,1,0.129394766,46.52000706,0.00019996,0.000211278
144,ASV,day6,jaccard,citrate,1,0.127611481,45.78509759,0.00019996,0.000211278
145,ASV,day8,bray,All,7,0.501337238,44.09236165,0.00019996,0.000211278
146,ASV,day8,bray,glucose,1,0.154282107,57.09977257,0.00019996,0.000211278
147,ASV,day8,bray,leucine,1,0.115544383,40.89000199,0.00019996,0.000211278
148,ASV,day8,bray,citrate,1,0.116919445,41.44105082,0.00019996,0.000211278
149,ASV,day8,jaccard,All,7,0.468707018,38.69080022,0.00019996,0.000211278
150,ASV,day8,jaccard,glucose,1,0.116414963,41.23868306,0.00019996,0.000211278
151,ASV,day8,jaccard,leucine,1,0.089781586,30.87350918,0.00019996,0.000211278
152,ASV,day8,jaccard,citrate,1,0.115681053,40.94469497,0.00019996,0.000211278
153,ASV,day10,bray,All,7,0.536067281,50.67626919,0.00019996,0.000211278
154,ASV,day10,bray,glucose,1,0.188785481,72.84122054,0.00019996,0.000211278
155,ASV,day10,bray,leucine,1,0.078639143,26.71488753,0.00019996,0.000211278
156,ASV,day10,bray,citrate,1,0.156725424,58.17210553,0.00019996,0.000211278
157,ASV,day10,jaccard,All,7,0.483511415,41.0569174,0.00019996,0.000211278
158,ASV,day10,jaccard,glucose,1,0.13961943,50.79250175,0.00019996,0.000211278
159,ASV,day10,jaccard,leucine,1,0.066978956,22.46938949,0.00019996,0.000211278
160,ASV,day10,jaccard,citrate,1,0.13282852,47.94360489,0.00019996,0.000211278
161,ASV,day12,bray,All,7,0.467615224,38.52151421,0.00019996,0.000211278
162,ASV,day12,bray,glucose,1,0.202313791,79.38487069,0.00019996,0.000211278
163,ASV,day12,bray,leucine,1,0.047229301,15.51556016,0.00019996,0.000211278
164,ASV,day12,bray,citrate,1,0.144230519,52.75270198,0.00019996,0.000211278
165,ASV,day12,jaccard,All,7,0.414320693,31.02537791,0.00019996,0.000211278
166,ASV,day12,jaccard,glucose,1,0.146710983,53.81592513,0.00019996,0.000211278
167,ASV,day12,jaccard,leucine,1,0.043970032,14.39559472,0.00019996,0.000211278
168,ASV,day12,jaccard,citrate,1,0.121225527,43.17784714,0.00019996,0.000211278
169,PICRUSTs2,all,bray,All,7,0.472858332,166.5900318,0.00019996,0.000211278
170,PICRUSTs2,all,bray,glucose,1,0.157821079,244.7393593,0.00019996,0.000211278
171,PICRUSTs2,all,bray,leucine,1,0.024101572,32.25402572,0.00019996,0.000211278
172,PICRUSTs2,all,bray,citrate,1,0.210934123,349.1216287,0.00019996,0.000211278
173,PICRUSTs2,all,jaccard,All,7,0.427829128,138.8640787,0.00019996,0.000211278
174,PICRUSTs2,all,jaccard,glucose,1,0.129344464,194.0191771,0.00019996,0.000211278
175,PICRUSTs2,all,jaccard,leucine,1,0.027132598,36.42343508,0.00019996,0.000211278
176,PICRUSTs2,all,jaccard,citrate,1,0.186725889,299.8546347,0.00019996,0.000211278
177,PICRUSTs2,day2,bray,All,7,0.662582519,58.91062752,0.00019996,0.000211278
178,PICRUSTs2,day2,bray,glucose,1,0.096570621,23.08897029,0.00019996,0.000211278
179,PICRUSTs2,day2,bray,leucine,1,0.416185649,153.9806276,0.00019996,0.000211278
180,PICRUSTs2,day2,bray,citrate,1,0.080114878,18.81192917,0.00019996,0.000211278
181,PICRUSTs2,day2,jaccard,All,7,0.628030945,50.65187043,0.00019996,0.000211278
182,PICRUSTs2,day2,jaccard,glucose,1,0.088347376,20.93235159,0.00019996,0.000211278
183,PICRUSTs2,day2,jaccard,leucine,1,0.377486183,130.98025,0.00019996,0.000211278
184,PICRUSTs2,day2,jaccard,citrate,1,0.073055968,17.02377757,0.00019996,0.000211278
185,PICRUSTs2,day4,bray,All,7,0.827162105,143.5730468,0.00019996,0.000211278
186,PICRUSTs2,day4,bray,glucose,1,0.025951095,5.754779413,0.01119776,0.011349766
187,PICRUSTs2,day4,bray,leucine,1,0.400254273,144.1526286,0.00019996,0.000211278
188,PICRUSTs2,day4,bray,citrate,1,0.181153008,47.78554493,0.00019996,0.000211278
189,PICRUSTs2,day4,jaccard,All,7,0.80369605,122.8242298,0.00019996,0.000211278
190,PICRUSTs2,day4,jaccard,glucose,1,0.026598807,5.902337343,0.00519896,0.005293487
191,PICRUSTs2,day4,jaccard,leucine,1,0.347180534,114.8724868,0.00019996,0.000211278
192,PICRUSTs2,day4,jaccard,citrate,1,0.183342806,48.49286366,0.00019996,0.000211278
193,PICRUSTs2,day6,bray,All,7,0.770981353,100.9937001,0.00019996,0.000211278
194,PICRUSTs2,day6,bray,glucose,1,0.15607149,39.94585018,0.00019996,0.000211278
195,PICRUSTs2,day6,bray,leucine,1,0.056664249,12.97467815,0.00019996,0.000211278
196,PICRUSTs2,day6,bray,citrate,1,0.291978902,89.07565478,0.00019996,0.000211278
197,PICRUSTs2,day6,jaccard,All,7,0.725450311,79.2698377,0.00019996,0.000211278
198,PICRUSTs2,day6,jaccard,glucose,1,0.140032931,35.17240844,0.00019996,0.000211278
199,PICRUSTs2,day6,jaccard,leucine,1,0.052444957,11.95509507,0.00019996,0.000211278
200,PICRUSTs2,day6,jaccard,citrate,1,0.250692051,72.26599308,0.00019996,0.000211278
201,PICRUSTs2,day8,bray,All,7,0.736264836,83.75047422,0.00019996,0.000211278
202,PICRUSTs2,day8,bray,glucose,1,0.260871201,76.23594085,0.00019996,0.000211278
203,PICRUSTs2,day8,bray,leucine,1,0.022109369,4.883597057,0.018596281,0.018679672
204,PICRUSTs2,day8,bray,citrate,1,0.329288397,106.0460166,0.00019996,0.000211278
205,PICRUSTs2,day8,jaccard,All,7,0.688158103,66.20259591,0.00019996,0.000211278
206,PICRUSTs2,day8,jaccard,glucose,1,0.221630032,61.50299851,0.00019996,0.000211278
207,PICRUSTs2,day8,jaccard,leucine,1,0.031380914,6.997877253,0.00219956,0.002270514
208,PICRUSTs2,day8,jaccard,citrate,1,0.297430657,91.44296217,0.00019996,0.000211278
209,PICRUSTs2,day10,bray,All,7,0.730028094,81.12267359,0.00019996,0.000211278
210,PICRUSTs2,day10,bray,glucose,1,0.310262318,97.16253348,0.00019996,0.000211278
211,PICRUSTs2,day10,bray,leucine,1,0.03525644,7.893694495,0.00439912,0.004499557
212,PICRUSTs2,day10,bray,citrate,1,0.309370146,96.75798266,0.00019996,0.000211278
213,PICRUSTs2,day10,jaccard,All,7,0.672149799,61.50520556,0.00019996,0.000211278
214,PICRUSTs2,day10,jaccard,glucose,1,0.260679844,76.16030207,0.00019996,0.000211278
215,PICRUSTs2,day10,jaccard,leucine,1,0.037858589,8.499223947,0.00139972,0.001458313
216,PICRUSTs2,day10,jaccard,citrate,1,0.279381124,83.74235662,0.00019996,0.000211278
217,PICRUSTs2,day12,bray,All,7,0.682822974,64.58440409,0.00019996,0.000211278
218,PICRUSTs2,day12,bray,glucose,1,0.332144283,107.4231506,0.00019996,0.000211278
219,PICRUSTs2,day12,bray,leucine,1,0.03430668,7.673495131,0.00379924,0.003903806
220,PICRUSTs2,day12,bray,citrate,1,0.253170116,73.22249197,0.00019996,0.000211278
221,PICRUSTs2,day12,jaccard,All,7,0.624945784,49.98843562,0.00019996,0.000211278
222,PICRUSTs2,day12,jaccard,glucose,1,0.279682352,83.86770519,0.00019996,0.000211278
223,PICRUSTs2,day12,jaccard,leucine,1,0.034416446,7.698921847,0.00219956,0.002270514
224,PICRUSTs2,day12,jaccard,citrate,1,0.23454872,66.18647697,0.00019996,0.000211278
